epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1661308546559,2022-08-23T22.35.46.559,0.000,-0.001,-0.003,0.019
1661308546570,2022-08-23T22.35.46.570,0.011,-0.006,0.010,0.008
1661308546579,2022-08-23T22.35.46.579,0.020,-0.004,0.034,0.012
1661308546589,2022-08-23T22.35.46.589,0.030,-0.001,0.064,0.008
1661308546599,2022-08-23T22.35.46.599,0.040,0.002,-0.009,0.026
1661308546609,2022-08-23T22.35.46.609,0.050,0.002,0.047,-0.012
1661308546618,2022-08-23T22.35.46.618,0.059,0.020,0.007,0.001
1661308546628,2022-08-23T22.35.46.628,0.069,0.017,0.017,-0.006
1661308546639,2022-08-23T22.35.46.639,0.080,0.006,0.069,0.002
1661308546649,2022-08-23T22.35.46.649,0.090,-0.001,0.015,0.016
1661308546659,2022-08-23T22.35.46.659,0.100,0.003,-0.000,0.011
1661308546668,2022-08-23T22.35.46.668,0.109,0.001,-0.012,0.003
1661308546678,2022-08-23T22.35.46.678,0.119,0.006,-0.048,-0.015
1661308546688,2022-08-23T22.35.46.688,0.129,0.004,-0.023,0.000
1661308546699,2022-08-23T22.35.46.699,0.140,0.003,0.012,-0.001
1661308546709,2022-08-23T22.35.46.709,0.150,0.002,0.016,0.001
1661308546719,2022-08-23T22.35.46.719,0.160,0.003,0.009,0.014
1661308546728,2022-08-23T22.35.46.728,0.169,0.002,0.017,-0.011
1661308546738,2022-08-23T22.35.46.738,0.179,0.002,0.014,-0.007
1661308546748,2022-08-23T22.35.46.748,0.189,0.007,0.009,0.004
1661308546759,2022-08-23T22.35.46.759,0.200,0.007,0.011,-0.002
1661308546767,2022-08-23T22.35.46.767,0.208,0.003,0.012,-0.003
1661308546778,2022-08-23T22.35.46.778,0.219,0.003,0.017,-0.004
1661308546788,2022-08-23T22.35.46.788,0.229,0.002,0.025,-0.013
1661308546798,2022-08-23T22.35.46.798,0.239,0.003,0.025,-0.017
1661308546809,2022-08-23T22.35.46.809,0.250,-0.002,0.015,-0.001
1661308546817,2022-08-23T22.35.46.817,0.258,-0.001,0.015,-0.014
1661308546828,2022-08-23T22.35.46.828,0.269,-0.001,0.017,-0.021
1661308546838,2022-08-23T22.35.46.838,0.279,-0.003,0.028,-0.023
1661308546848,2022-08-23T22.35.46.848,0.289,-0.001,0.031,-0.037
1661308546858,2022-08-23T22.35.46.858,0.299,-0.014,0.018,-0.020
1661308546867,2022-08-23T22.35.46.867,0.308,0.004,0.021,-0.045
1661308546877,2022-08-23T22.35.46.877,0.318,-0.004,0.042,-0.056
1661308546888,2022-08-23T22.35.46.888,0.329,-0.003,0.036,-0.053
1661308546898,2022-08-23T22.35.46.898,0.339,0.001,0.040,-0.065
1661308546907,2022-08-23T22.35.46.907,0.348,-0.007,0.030,-0.045
1661308546917,2022-08-23T22.35.46.917,0.358,-0.009,0.015,-0.003
1661308546927,2022-08-23T22.35.46.927,0.368,-0.009,0.035,-0.016
1661308546937,2022-08-23T22.35.46.937,0.378,0.004,0.025,-0.006
1661308546948,2022-08-23T22.35.46.948,0.389,0.008,0.003,0.048
1661308546956,2022-08-23T22.35.46.956,0.397,0.011,-0.008,0.096
1661308546968,2022-08-23T22.35.46.968,0.409,0.008,-0.030,0.180
1661308546977,2022-08-23T22.35.46.977,0.418,0.021,-0.030,0.163
1661308546987,2022-08-23T22.35.46.987,0.428,0.022,-0.005,0.080
1661308546997,2022-08-23T22.35.46.997,0.438,0.017,-0.002,0.082
1661308547006,2022-08-23T22.35.47.006,0.447,0.012,-0.062,0.108
1661308547017,2022-08-23T22.35.47.017,0.458,-0.012,-0.053,0.037
1661308547027,2022-08-23T22.35.47.027,0.468,-0.021,-0.005,-0.035
1661308547037,2022-08-23T22.35.47.037,0.478,-0.003,0.034,-0.047
1661308547047,2022-08-23T22.35.47.047,0.488,0.015,0.050,-0.042
1661308547056,2022-08-23T22.35.47.056,0.497,0.006,0.043,-0.048
1661308547066,2022-08-23T22.35.47.066,0.507,-0.002,0.050,-0.038
1661308547077,2022-08-23T22.35.47.077,0.518,0.042,0.065,-0.008
1661308547087,2022-08-23T22.35.47.087,0.528,-0.021,0.071,-0.046
1661308547097,2022-08-23T22.35.47.097,0.538,-0.022,0.011,0.013
1661308547106,2022-08-23T22.35.47.106,0.547,0.020,0.020,-0.003
1661308547116,2022-08-23T22.35.47.116,0.557,0.012,0.031,-0.008
1661308547126,2022-08-23T22.35.47.126,0.567,-0.007,0.009,-0.037
1661308547137,2022-08-23T22.35.47.137,0.578,-0.008,0.043,-0.068
1661308547147,2022-08-23T22.35.47.147,0.588,-0.006,0.064,-0.117
1661308547156,2022-08-23T22.35.47.156,0.597,-0.028,0.090,-0.162
1661308547166,2022-08-23T22.35.47.166,0.607,-0.001,0.048,-0.043
1661308547176,2022-08-23T22.35.47.176,0.617,0.006,0.062,-0.061
1661308547186,2022-08-23T22.35.47.186,0.627,0.006,0.086,-0.049
1661308547197,2022-08-23T22.35.47.197,0.638,0.033,0.090,0.013
1661308547207,2022-08-23T22.35.47.207,0.648,0.031,0.249,-0.040
1661308547216,2022-08-23T22.35.47.216,0.657,-0.003,-0.006,-0.015
1661308547226,2022-08-23T22.35.47.226,0.667,-0.034,0.004,-0.119
1661308547236,2022-08-23T22.35.47.236,0.677,0.021,0.054,-0.033
1661308547245,2022-08-23T22.35.47.245,0.686,0.029,-0.012,0.046
1661308547255,2022-08-23T22.35.47.255,0.696,0.020,0.023,-0.027
1661308547266,2022-08-23T22.35.47.266,0.707,0.029,0.042,0.008
1661308547276,2022-08-23T22.35.47.276,0.717,-0.036,-0.041,0.033
1661308547286,2022-08-23T22.35.47.286,0.727,-0.030,-0.034,0.052
1661308547296,2022-08-23T22.35.47.296,0.737,0.007,-0.018,0.056
1661308547305,2022-08-23T22.35.47.305,0.746,0.020,-0.058,0.158
1661308547315,2022-08-23T22.35.47.315,0.756,0.035,-0.116,0.160
1661308547326,2022-08-23T22.35.47.326,0.767,-0.181,-0.260,0.495
1661308547336,2022-08-23T22.35.47.336,0.777,0.036,-0.038,-0.032
1661308547345,2022-08-23T22.35.47.345,0.786,0.084,0.215,-0.220
1661308547355,2022-08-23T22.35.47.355,0.796,-0.043,0.083,-0.138
1661308547365,2022-08-23T22.35.47.365,0.806,-0.047,-0.087,0.004
1661308547375,2022-08-23T22.35.47.375,0.816,-0.278,-0.023,-0.117
1661308547386,2022-08-23T22.35.47.386,0.827,-0.167,-0.041,-0.022
1661308547394,2022-08-23T22.35.47.394,0.835,-0.014,0.030,-0.014
1661308547405,2022-08-23T22.35.47.405,0.846,0.029,0.116,-0.120
1661308547415,2022-08-23T22.35.47.415,0.856,0.093,0.024,-0.021
1661308547425,2022-08-23T22.35.47.425,0.866,0.051,-0.019,-0.006
1661308547435,2022-08-23T22.35.47.435,0.876,0.001,0.026,-0.010
1661308547444,2022-08-23T22.35.47.444,0.885,0.013,0.052,0.006
1661308547454,2022-08-23T22.35.47.454,0.895,0.033,0.070,0.014
1661308547465,2022-08-23T22.35.47.465,0.906,0.003,0.078,-0.025
1661308547475,2022-08-23T22.35.47.475,0.916,0.035,0.044,-0.031
1661308547484,2022-08-23T22.35.47.484,0.925,0.120,0.058,-0.079
1661308547494,2022-08-23T22.35.47.494,0.935,0.025,0.078,-0.124
1661308547504,2022-08-23T22.35.47.504,0.945,-0.124,-0.023,-0.021
1661308547515,2022-08-23T22.35.47.515,0.956,-0.099,-0.055,-0.033
1661308547525,2022-08-23T22.35.47.525,0.966,-0.076,-0.069,-0.052
1661308547535,2022-08-23T22.35.47.535,0.976,-0.131,-0.086,0.034
1661308547544,2022-08-23T22.35.47.544,0.985,-0.114,-0.061,0.079
1661308547554,2022-08-23T22.35.47.554,0.995,-0.066,-0.022,0.062
1661308547564,2022-08-23T22.35.47.564,1.005,-0.036,-0.011,-0.034
1661308547575,2022-08-23T22.35.47.575,1.016,-0.112,0.066,0.023
1661308547583,2022-08-23T22.35.47.583,1.024,-0.108,0.045,0.076
1661308547594,2022-08-23T22.35.47.594,1.035,-0.089,-0.070,0.123
1661308547604,2022-08-23T22.35.47.604,1.045,-0.127,-0.131,0.110
1661308547614,2022-08-23T22.35.47.614,1.055,-0.104,-0.105,0.044
1661308547624,2022-08-23T22.35.47.624,1.065,-0.068,-0.167,-0.063
1661308547633,2022-08-23T22.35.47.633,1.074,0.010,-0.210,-0.124
1661308547643,2022-08-23T22.35.47.643,1.084,-0.120,-0.010,-0.022
1661308547654,2022-08-23T22.35.47.654,1.095,-0.210,0.107,-0.068
1661308547664,2022-08-23T22.35.47.664,1.105,-0.161,-0.001,-0.132
1661308547674,2022-08-23T22.35.47.674,1.115,-0.178,0.098,-0.147
1661308547683,2022-08-23T22.35.47.683,1.124,-0.069,-0.037,-0.250
1661308547693,2022-08-23T22.35.47.693,1.134,0.019,-0.184,-0.382
1661308547704,2022-08-23T22.35.47.704,1.145,-0.071,-0.065,-0.317
1661308547714,2022-08-23T22.35.47.714,1.155,-0.051,0.029,-0.103
1661308547724,2022-08-23T22.35.47.724,1.165,-0.002,-0.016,-0.134
1661308547733,2022-08-23T22.35.47.733,1.174,-0.014,-0.024,-0.175
1661308547743,2022-08-23T22.35.47.743,1.184,-0.037,0.010,-0.134
1661308547753,2022-08-23T22.35.47.753,1.194,-0.025,0.003,-0.097
1661308547764,2022-08-23T22.35.47.764,1.205,0.005,-0.020,-0.017
1661308547772,2022-08-23T22.35.47.772,1.213,0.037,-0.010,0.057
