epoc (ms),timestamp (-0400),elapsed (s),w (number),x (number),y (number),z (number)
1662322821844,2022-09-04T16.20.21.844,0.000,0.999,0.028,0.029,0.000
1662322821854,2022-09-04T16.20.21.854,0.010,0.999,0.026,0.027,0.001
1662322821864,2022-09-04T16.20.21.864,0.020,0.999,0.023,0.025,0.002
1662322821874,2022-09-04T16.20.21.874,0.030,1.000,0.021,0.022,0.003
1662322821884,2022-09-04T16.20.21.884,0.040,1.000,0.019,0.020,0.003
1662322821894,2022-09-04T16.20.21.894,0.050,1.000,0.017,0.018,0.003
1662322821904,2022-09-04T16.20.21.904,0.060,1.000,0.015,0.015,0.002
1662322821914,2022-09-04T16.20.21.914,0.070,1.000,0.013,0.013,0.001
1662322821924,2022-09-04T16.20.21.924,0.080,1.000,0.013,0.011,0.001
1662322821934,2022-09-04T16.20.21.934,0.090,1.000,0.013,0.009,-0.000
1662322821944,2022-09-04T16.20.21.944,0.100,1.000,0.012,0.008,-0.001
1662322821954,2022-09-04T16.20.21.954,0.110,1.000,0.010,0.008,-0.003
1662322821964,2022-09-04T16.20.21.964,0.120,1.000,0.006,0.009,-0.004
1662322821974,2022-09-04T16.20.21.974,0.130,1.000,0.003,0.010,-0.005
1662322821984,2022-09-04T16.20.21.984,0.140,1.000,-0.001,0.011,-0.007
1662322821994,2022-09-04T16.20.21.994,0.150,1.000,-0.004,0.011,-0.008
1662322822004,2022-09-04T16.20.22.004,0.160,1.000,-0.007,0.011,-0.008
1662322822014,2022-09-04T16.20.22.014,0.170,1.000,-0.008,0.010,-0.009
1662322822024,2022-09-04T16.20.22.024,0.180,1.000,-0.009,0.010,-0.009
1662322822034,2022-09-04T16.20.22.034,0.190,1.000,-0.009,0.009,-0.009
1662322822044,2022-09-04T16.20.22.044,0.200,1.000,-0.010,0.009,-0.009
1662322822054,2022-09-04T16.20.22.054,0.210,1.000,-0.011,0.009,-0.008
1662322822064,2022-09-04T16.20.22.064,0.220,1.000,-0.013,0.010,-0.007
1662322822074,2022-09-04T16.20.22.074,0.230,1.000,-0.015,0.010,-0.007
1662322822084,2022-09-04T16.20.22.084,0.240,1.000,-0.017,0.011,-0.006
1662322822094,2022-09-04T16.20.22.094,0.250,1.000,-0.019,0.012,-0.005
1662322822104,2022-09-04T16.20.22.104,0.260,1.000,-0.021,0.013,-0.004
1662322822114,2022-09-04T16.20.22.114,0.270,1.000,-0.023,0.013,-0.004
1662322822124,2022-09-04T16.20.22.124,0.280,1.000,-0.027,0.015,-0.003
1662322822134,2022-09-04T16.20.22.134,0.290,0.999,-0.031,0.017,-0.002
1662322822144,2022-09-04T16.20.22.144,0.300,0.999,-0.035,0.018,-0.002
1662322822154,2022-09-04T16.20.22.154,0.310,0.999,-0.038,0.020,-0.001
